"id","name","created_at","updated_at","upper_house_present","code"
"1","New South Wales","2018-02-16 10:20:38","2018-02-16 10:20:38","1","NSW"
"2","Queensland","2018-02-16 10:20:38","2018-02-16 10:20:38","0","QLD"
"3","South Australia","2018-02-16 10:20:38","2018-02-16 10:20:38","1","SA"
"4","Victoria","2018-02-16 10:20:38","2018-02-16 10:20:38","1","VIC"
"5","Western Australia","2018-02-16 10:20:38","2018-02-16 10:20:38","1","WA"
"6","Australian Capital Territory","2018-02-16 10:20:38","2018-02-16 10:20:38","0","ACT"
"7","Northern Territory","2018-02-16 10:20:38","2018-02-16 10:20:38","0","NT"
"8","Tasmania","2018-02-16 10:20:38","2018-02-16 10:20:38","1","TAS"
"9","Federal","2018-02-16 10:20:38","2018-02-16 10:20:38","1","FEDERAL"
