"id","name","abbreviation","created_at","updated_at","jurisdiction_id"
"1","Australian Labor Party","ALP","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"2","Liberal Party","LP","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"3","Australian Greens","AG","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"4","National Party","Nats","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"5","Country Liberal Party","CLP","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"6","Australian Conservatives","AUC","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"7","Independents","Ind.","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"8","Democratic Labor Party","DLP","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"9","Australian Labor Party","ALP","2018-02-16 10:20:38","2018-02-16 10:20:38","1"
"10","Liberal Party","LIB","2018-02-16 10:20:38","2018-02-16 10:20:38","1"
"11","Australian Greens","GNS","2018-02-16 10:20:38","2018-02-16 10:20:38","1"
"12","Australian Labor Party","ALP","2018-02-16 10:20:38","2018-02-16 10:20:38","2"
"14","Independents","IND","2018-02-16 10:20:38","2018-02-16 10:20:38","2"
"15","Katter's Australian Party","KAP","2018-02-16 10:20:38","2018-02-16 10:20:38","2"
"16","Liberal National Party","LNP","2018-02-16 10:20:38","2018-02-16 10:20:38","2"
"17","Australian Labor Party","ALP","2018-02-16 10:20:38","2018-02-16 10:20:38","8"
"18","Liberal Party of Australia","LP","2018-02-16 10:20:38","2018-02-16 10:20:38","8"
"19","Tasmanian Greens","Tas Greens","2018-02-16 10:20:38","2018-02-16 10:20:38","8"
"20","Independent","IND","2018-02-16 10:20:38","2018-02-16 10:20:38","8"
"21","Australian Labor Party","ALP","2018-02-16 10:20:38","2018-02-16 10:20:38","3"
"22","Dignity for Disability","D4D","2018-02-16 10:20:38","2018-02-16 10:20:38","3"
"23","Greens SA","GSA","2018-02-16 10:20:38","2018-02-16 10:20:38","3"
"24","Independent","IND","2018-02-16 10:20:38","2018-02-16 10:20:38","3"
"25","Liberal Party","LIB","2018-02-16 10:20:38","2018-02-16 10:20:38","3"
"26","The Nationals","NATS","2018-02-16 10:20:38","2018-02-16 10:20:38","1"
"27","Christian Democratic Party","CDP","2018-02-16 10:20:38","2018-02-16 10:20:38","1"
"28","Shooters, Fishers and Farmers Party","SFP","2018-02-16 10:20:38","2018-02-16 10:20:38","1"
"29","Independent","IND","2018-02-16 10:20:38","2018-02-16 10:20:38","1"
"30","Vacant Seats","VACANT","2018-02-16 10:20:38","2018-02-16 10:20:38","1"
"31","Katter's Australian Party","AUS","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"32","Palmer United Party","PUP","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"33","Australian Motoring Enthusiast Party","AMEP","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"34","Liberal Democratic Party","LDP","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"35","Australian Labor Party","ALP","2018-02-16 10:20:38","2018-02-16 10:20:38","5"
"37","Greens (WA)","GWA","2018-02-16 10:20:38","2018-02-16 10:20:38","5"
"39","Liberal Party","LIB","2018-02-16 10:20:38","2018-02-16 10:20:38","5"
"41","National Party of Australia","NAT","2018-02-16 10:20:38","2018-02-16 10:20:38","5"
"43","Shooters and Fishers","SF","2018-02-16 10:20:38","2018-02-16 10:20:38","5"
"45","VACANT SEATS","VACANT","2018-02-16 10:20:38","2018-02-16 10:20:38","5"
"47","Nick Xenophon Team","NXT","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"48","One Nation","ON","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"49","Jacqui Lambie Network","JLN","2018-02-16 10:20:38","2018-02-16 10:20:38","9"
"50","Derryn Hinch Justice Party","DHJP","2018-02-16 10:20:39","2018-02-16 10:20:39","9"
"51","Animal Justice Party","AJP","2018-02-16 10:20:39","2018-02-16 10:20:39","1"
"52","Vacant","VACANT","2018-02-16 10:20:39","2018-02-16 10:20:39","9"
